Technology,EventType,Parameter,EnergyType,EnergyValue
Technology::TSMC_5NM,ALU_IADD,8,Fixed,0
Technology::TSMC_5NM,ALU_IADD,16,Fixed,0
Technology::TSMC_5NM,ALU_IADD,32,Fixed,0
Technology::TSMC_5NM,ALU_IADD,64,Fixed,0
Technology::TSMC_5NM,ALU_IADD,128,Fixed,0
Technology::TSMC_5NM,ALU_ISUB,8,Fixed,0
Technology::TSMC_5NM,ALU_ISUB,16,Fixed,0
Technology::TSMC_5NM,ALU_ISUB,32,Fixed,0
Technology::TSMC_5NM,ALU_ISUB,64,Fixed,0
Technology::TSMC_5NM,ALU_ISUB,128,Fixed,0
Technology::TSMC_5NM,ALU_IMUL,8,Fixed,0
Technology::TSMC_5NM,ALU_IMUL,16,Fixed,0
Technology::TSMC_5NM,ALU_IMUL,32,Fixed,0
Technology::TSMC_5NM,ALU_IMUL,64,Fixed,0
Technology::TSMC_5NM,ALU_IMUL,128,Fixed,0
Technology::TSMC_5NM,ALU_IDIV,8,Fixed,0
Technology::TSMC_5NM,ALU_IDIV,16,Fixed,0
Technology::TSMC_5NM,ALU_IDIV,32,Fixed,0
Technology::TSMC_5NM,ALU_IDIV,64,Fixed,0
Technology::TSMC_5NM,ALU_IDIV,128,Fixed,0
Technology::TSMC_5NM,ALU_IMOD,8,Fixed,0
Technology::TSMC_5NM,ALU_IMOD,16,Fixed,0
Technology::TSMC_5NM,ALU_IMOD,32,Fixed,0
Technology::TSMC_5NM,ALU_IMOD,64,Fixed,0
Technology::TSMC_5NM,ALU_IMOD,128,Fixed,0
Technology::TSMC_5NM,ALU_ISFU,8,Fixed,0
Technology::TSMC_5NM,ALU_ISFU,16,Fixed,0
Technology::TSMC_5NM,ALU_ISFU,32,Fixed,0
Technology::TSMC_5NM,ALU_ISFU,64,Fixed,0
Technology::TSMC_5NM,ALU_ISFU,128,Fixed,0
Technology::TSMC_5NM,ALU_FADD,8,Fixed,0
Technology::TSMC_5NM,ALU_FADD,16,Fixed,0
Technology::TSMC_5NM,ALU_FADD,32,Fixed,0
Technology::TSMC_5NM,ALU_FADD,64,Fixed,0
Technology::TSMC_5NM,ALU_FADD,128,Fixed,0
Technology::TSMC_5NM,ALU_FSUB,8,Fixed,0
Technology::TSMC_5NM,ALU_FSUB,16,Fixed,0
Technology::TSMC_5NM,ALU_FSUB,32,Fixed,0
Technology::TSMC_5NM,ALU_FSUB,64,Fixed,0
Technology::TSMC_5NM,ALU_FSUB,128,Fixed,0
Technology::TSMC_5NM,ALU_FMUL,8,Fixed,0
Technology::TSMC_5NM,ALU_FMUL,16,Fixed,0
Technology::TSMC_5NM,ALU_FMUL,32,Fixed,0
Technology::TSMC_5NM,ALU_FMUL,64,Fixed,0
Technology::TSMC_5NM,ALU_FMUL,128,Fixed,0
Technology::TSMC_5NM,ALU_FDIV,8,Fixed,0
Technology::TSMC_5NM,ALU_FDIV,16,Fixed,0
Technology::TSMC_5NM,ALU_FDIV,32,Fixed,0
Technology::TSMC_5NM,ALU_FDIV,64,Fixed,0
Technology::TSMC_5NM,ALU_FDIV,128,Fixed,0
Technology::TSMC_5NM,ALU_FMA,8,Fixed,0
Technology::TSMC_5NM,ALU_FMA,16,Fixed,0
Technology::TSMC_5NM,ALU_FMA,32,Fixed,0
Technology::TSMC_5NM,ALU_FMA,64,Fixed,0
Technology::TSMC_5NM,ALU_FMA,128,Fixed,0
Technology::TSMC_5NM,ALU_FSFU,8,Fixed,0
Technology::TSMC_5NM,ALU_FSFU,16,Fixed,0
Technology::TSMC_5NM,ALU_FSFU,32,Fixed,0
Technology::TSMC_5NM,ALU_FSFU,64,Fixed,0
Technology::TSMC_5NM,ALU_FSFU,128,Fixed,0
Technology::TSMC_5NM,RF_READ,32,PerBit,0
Technology::TSMC_5NM,RF_READ,64,PerBit,0
Technology::TSMC_5NM,RF_READ,128,PerBit,0
Technology::TSMC_5NM,RF_READ,256,PerBit,0
Technology::TSMC_5NM,RF_READ,512,PerBit,0
Technology::TSMC_5NM,RF_WRITE,32,PerBit,0
Technology::TSMC_5NM,RF_WRITE,64,PerBit,0
Technology::TSMC_5NM,RF_WRITE,128,PerBit,0
Technology::TSMC_5NM,RF_WRITE,256,PerBit,0
Technology::TSMC_5NM,RF_WRITE,512,PerBit,0
Technology::TSMC_5NM,VRF_READ,32,PerBit,0
Technology::TSMC_5NM,VRF_READ,64,PerBit,0
Technology::TSMC_5NM,VRF_READ,128,PerBit,0
Technology::TSMC_5NM,VRF_READ,256,PerBit,0
Technology::TSMC_5NM,VRF_READ,512,PerBit,0
Technology::TSMC_5NM,VRF_WRITE,32,PerBit,0
Technology::TSMC_5NM,VRF_WRITE,64,PerBit,0
Technology::TSMC_5NM,VRF_WRITE,128,PerBit,0
Technology::TSMC_5NM,VRF_WRITE,256,PerBit,0
Technology::TSMC_5NM,VRF_WRITE,512,PerBit,0
Technology::TSMC_5NM,L1_CACHE_READ,128,PerBit,0
Technology::TSMC_5NM,L1_CACHE_READ,256,PerBit,0
Technology::TSMC_5NM,L1_CACHE_READ,512,PerBit,0
Technology::TSMC_5NM,L1_CACHE_WRITE,128,PerBit,0
Technology::TSMC_5NM,L1_CACHE_WRITE,256,PerBit,0
Technology::TSMC_5NM,L1_CACHE_WRITE,512,PerBit,0
Technology::TSMC_5NM,L2_CACHE_READ,128,PerBit,0
Technology::TSMC_5NM,L2_CACHE_READ,256,PerBit,0
Technology::TSMC_5NM,L2_CACHE_READ,512,PerBit,0
Technology::TSMC_5NM,L2_CACHE_WRITE,128,PerBit,0
Technology::TSMC_5NM,L2_CACHE_WRITE,256,PerBit,0
Technology::TSMC_5NM,L2_CACHE_WRITE,512,PerBit,0
Technology::TSMC_5NM,L3_CACHE_READ,128,PerBit,0
Technology::TSMC_5NM,L3_CACHE_READ,256,PerBit,0
Technology::TSMC_5NM,L3_CACHE_READ,512,PerBit,0
Technology::TSMC_5NM,L3_CACHE_WRITE,128,PerBit,0
Technology::TSMC_5NM,L3_CACHE_WRITE,256,PerBit,0
Technology::TSMC_5NM,L3_CACHE_WRITE,512,PerBit,0
Technology::TSMC_5NM,DRAM_READ,128,PerBit,0
Technology::TSMC_5NM,DRAM_READ,256,PerBit,0
Technology::TSMC_5NM,DRAM_READ,512,PerBit,0
Technology::TSMC_5NM,DRAM_WRITE,128,PerBit,0
Technology::TSMC_5NM,DRAM_WRITE,256,PerBit,0
Technology::TSMC_5NM,DRAM_WRITE,512,PerBit,0
Technology::TSMC_5NM,BUS_READ,128_1,PerBit,0
Technology::TSMC_5NM,BUS_READ,256_1,PerBit,0
Technology::TSMC_5NM,BUS_READ,512_1,PerBit,0
Technology::TSMC_5NM,BUS_READ,64_1,PerBit,0
Technology::TSMC_5NM,BUS_READ,64_2,PerBit,0
Technology::TSMC_5NM,BUS_WRITE,128_1,PerBit,0
Technology::TSMC_5NM,BUS_WRITE,256_1,PerBit,0
Technology::TSMC_5NM,BUS_WRITE,512_1,PerBit,0
Technology::TSMC_5NM,BUS_WRITE,64_1,PerBit,0
Technology::TSMC_5NM,BUS_WRITE,64_2,PerBit,0
Technology::TSMC_5NM,NETWORK_READ,128_1,PerBit,0
Technology::TSMC_5NM,NETWORK_READ,256_1,PerBit,0
Technology::TSMC_5NM,NETWORK_READ,512_1,PerBit,0
Technology::TSMC_5NM,NETWORK_READ,64_1,PerBit,0
Technology::TSMC_5NM,NETWORK_WRITE,128_1,PerBit,0
Technology::TSMC_5NM,NETWORK_WRITE,256_1,PerBit,0
Technology::TSMC_5NM,NETWORK_WRITE,512_1,PerBit,0
Technology::TSMC_5NM,NETWORK_WRITE,64_1,PerBit,0
